,openInterest,symbol,productGroup,productCode,tradingHoursGlobex,url,tradingHoursClearPort,listedContracts,terminationOfTrading,contractUnit,settlementMethod,vendorCodes,floatingPrice,priceLimitOrCircut,productName,settlementProcedures,blockMinimum,clearing,globex,tradingHours,errorFlag,clearedAs,exchange,positionLimits,minimumPriceFluctuation,exchangeRulebook,floor,volume,priceQuotation,clearPort
0,105,0B,Energy,"CME Globex: 0B
CME ClearPort: 0B
Clearing: 0B",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/refined-products/mini-european-1pct-fuel-oil-platts-cargoes-fob-nwe-swap-futures_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),Current year and next 4 consecutive years.,Trading shall cease on the last business day of the contract month.,100 metric tons,Financially Settled,Quote Vendor Symbols Listing,"The Floating Price for each contract month is equal to the arithmetic average of the high and low quotations from Platts European Marketscan for 1% Fuel Oil under the heading ""Cargoes FOB NWE"" assessment for each business day that it is determined during the contract month.",,Mini European 1% Fuel Oil Cargoes FOB NWE (Platts) Futures,,Block Minimum Thresholds,0B,0B,,,Futures,NYMEX,NYMEX Position Limits,$0.001 per metric ton,NYMEX 585,-,0,U.S. dollars and cents per metric ton,0B
0,,0MD,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
0,,0NI,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
0,0,16E,FX,"CME Globex: 16E
CME ClearPort: 16E
Clearing: 16E","Sunday: 5:00 p.m. - 4:00 p.m. CT next day. Monday - Friday: 5:00 p.m. - 4:00 p.m. CT the next day, except on Friday - closes at 4:00 p.m. and reopens Sunday at 5:00 p.m. CT.",http://www.cmegroup.com/trading/fx/realized-fx-volatilities/eur-usd-1-month-realized-volatility_contract_specifications.html,Sunday - Friday 5:00 p.m. 每 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,3 serial expirations,Futures trading shall terminate at 2:00 p.m. CT on the second Friday immediately preceding the third Wednesday of the contract month.,"$1,000 times the Euro 1-Month Reference Value",Financially Settled,Quote Vendor Symbols Listing,,Price Limits,EUR/USD 1-Month Realized Volatility Futures,,,16E,16E,,,Futures,CME,CME Position Limits ,$0.01  index point  ($10.00),CME 261C,-,0,U. S. dollars and cents per index point,16E
0,0,1NA,Energy,"CME Globex: 1NA
CME ClearPort: 1ND
Clearing: 1ND",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/refined-products/singapore-mogas-92-unleaded-platts-dubai-crack-spread-swap-futures_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),12 consecutive months,Trading shall cease on the last business day of the contract month.,"1,000 barrels",Financially Settled,Quote Vendor Symbols Listing,The Floating Price for each contract month is equal to the arithmetic average of the mid-point of the high and low quotations from Platts Oilgram Price Report for Singapore Mogas 92 Unleaded Gasoline minus the mid-point between the high and low quotations from Platts Crude Oil Marketwire for the Dubai front month price for each business day during the contract month.,,Singapore Mogas 92 Unleaded (Platts) Dubai (Platts) Crack Spread Futures,,Block Minimum Thresholds,1ND,1NA,,,Futures,NYMEX,NYMEX Position Limits,$0.001 per barrel,NYMEX 1084,-,0,U.S. dollars and cents per barrel,1ND
0,48,1T,Energy,"CME Globex: 1T
CME ClearPort: 1T
Clearing: 1T",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/refined-products/jet-aviation-fuel-platts-cargoes-fob-med-swap_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),36 consecutive months,Trading shall cease on the last business day of the contract month.,"1,000 metric tons",Financially Settled,Quote Vendor Symbols Listing,"The Floating Price for each contract month is equal to the arithmetic average of the mid-point between the high and low quotations from the Platts European Marketscan for Jet Aviation Fuel under the heading ""Cargoes FOB Med Basis Italy"" for each business day that it is determined during the contract month.",,Jet Aviation Fuel Cargoes FOB MED (Platts) Futures,,Block Minimum Thresholds,1T,1T,,,Futures,NYMEX,NYMEX Position Limits,$0.001 per metric ton,NYMEX 416,-,0,U.S. dollars and cents per metric ton,1T
0,0,26,Energy,"CME Globex: 26
CME ClearPort: 26
Clearing: 26",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/crude-oil/crude-oil-last-day-financial_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),"9 years forward using the following listing schedule: consecutive months are listed for the current year and the next five years; in addition, the June and December contract months are listed beyond the sixth year. ","Trading in the current contract month shall cease on the third business day prior to the twenty-fifth calendar day of the month preceding the contract month. If the twenty-fifth calendar day of the month is a non-business day, trading shall cease on the third business day prior to the last business day preceding the twenty-fifth calendar day.","1,000 barrels",Financially Settled,Quote Vendor Symbols Listing,The Floating Price for each contract month shall be equal to the NYMEX Light ※Sweet§ Crude Oil Futures first nearby contract settlement price on the last trading day for the contract month.,,Crude Oil Last Day Financial Futures,,Block Minimum Thresholds,26,26,,,Futures,NYMEX,NYMEX Position Limits,$0.01 per barrel,NYMEX 828,-,0,U.S. Dollars and Cents per barrel,26
0,0,2F,Energy,"CME Globex: 2FW
CME ClearPort: 2F
Clearing: 2F",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/electricity/caiso-np15-ez-gen-hub-5-mw-peak-calendar-day-real-time-lmp-swap-futures_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),Current month and next full month,CME Globex:,5 MWh,Financially Settled,Quote Vendor Symbols Listing,"A Daily Floating Price will be determined for the peak day. The Floating Price will be equal to the arithmetic average of the hourly real-time Locational Marginal Prices (LMP) for NP15 EZ Gen Hub provided by the California ISO (CAISO) for the peak day. For settlement of this contract, the prices provided by CAISO will be considered final on the payment day stated in Rule 268.10 and will not be subject to any further adjustment.",,CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Day Real-Time LMP Futures,Delivery under the CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Day Real-Time LMP Swap Futures contract shall be by cash settlement. The cash-settlement price will be based on the Daily Floating Price which is determined for the peak day.,Block Minimum Thresholds,2F,2FW,,,Futures,NYMEX,NYMEX Position Limits,$0.01 per MWh,NYMEX 268,-,0,The contract quantity shall be 80 Megawatt hours (MWh) and is based on 5 megawatts for peak daily hours. Each futures contract shall be valued at the contract quantity multiplied by the settlement price.,2F
0,0,36E,FX,"CME Globex: 36E
CME ClearPort: 36E
Clearing: 36E","Sunday : 5:00 p.m. - 4:00 p.m. CT next  day .  Monday - Friday:  5:00 p.m. - 4:00 p.m. CT the next day, except on Friday - closes at 4:00 p.m. and reopens Sunday at 5:00 p.m. CT.",http://www.cmegroup.com/trading/fx/realized-fx-volatilities/eur-usd-3-month-realized-volatility_contract_specifications.html,Sunday - Friday  6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m.CT) with a 60-minute break each day beginning at 5:00 p.m.(4:00 p.m. CT),"3 contract expirations in the March, June, September, and December quarterly cycle",Futures trading shall terminate at 2:00 p.m. CT on the second Friday immediately preceding the third Wednesday of the contract month.,"$1,000 times the Euro 3-Month Reference Value",Financially Settled,Quote Vendor Symbols Listing,,Price Limits,EUR/USD 3-Month Realized Volatility Futures,,,36E,36E,,,Futures,CME,CME Position Limits ,$0.01  index point  ($10.00),CME 261B,-,0,U. S. dollars and cents per index point,36E
0,0,38,Energy,"CME Globex: 38
CME ClearPort: 38
Clearing: 38",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/crude-oil/argus-sour-crude-index-asci-vs-wti-diff-spread-calendar-month-swap-futures_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),36 consecutive months,Trading shall cease at the close of trading on the last business day of the contract month.,"1,000 barrels",Financially Settled,Quote Vendor Symbols Listing,"The Floating Price for each contract month is equal to the arithmetic average of the Argus Sour Crude Index (""ASCI"") differential (Diff) price for the front month from Argus Media, which is based on the ASCI price minus the WTI Formula Basis price, for each business day that both are determined during the contract month.",,Argus Sour Crude Index (ASCI) vs. WTI Diff Spread Calendar Month Futures,,Block Minimum Thresholds,38,38,,,Futures,NYMEX,NYMEX Position Limits,$0.01 per barrel,NYMEX 224,-,0,U.S. Dollars and Cents per barrel,38
